review,rating
"Отличный телефон! купила когда только появился, у иже будет 5 лет  в мае активного пользования. сейчас батарея пришла в негодность, садится на глазах, начал зависать, покупка новой батареи не спасла ситуацию, может батарейка хреновая, хотя вроде оригинал. в общем срочно нужно решать вопрос с телефоном....хотела бы такой же,",4.5
"
Отличный аппарат 4 год работает мне лично лучше и не надо												",5.0
"
Первый Сони, из тех что юзал, с такой живучей батареей... Металлический корпус и сканер отпечатка в кнопке питания тоже порадовали... Ну а экран и камера - классика.												",5.0
"1. Опера не открывает ссылки на сайтах (большинстве), вылетает на ту же страницу, изменяя масштаб!!!<br />
2. Календарь не приспособлен для напоминания о днях рождений- ВСЕГО 25 напоминаний можно забить!!!!!!! Ужас!!!<br />
3. Фонарик- да зачем он!! Вот фотовспышку бы!!!<br />
4. Через ПО компании Нокиа не подключается к ПК никак.... есть только выбор: зарядка или доступ к карте памяти!!!<br />
5. Заряда хватает на сутки... если говорить- 6 часов!!!<br />
6. Фото низкого качества!!<br />
7. Клавиши (правая и курсор) не настраиваются под пользователя!!! Только левая!!!",1.0
"Взял по вроде не плохим параметрам: батарея, камера, 4G, 1ГБ  оперативки. До этого имел опыт эксплуатации девайсов марки престижио и в принципе был хорошего мнения о них. Но этот аппарат совсем меня как то растроил всем, чем только можно. Да аккум держит подольше моего прежнего алкателя, но не сильно, хотя 5000мАч против 2000мАч должен как минимум раза в 2 держать заряда дольше, все приложения да и любые действия на аппарате происходят с такой задержкой...., что кажется тут максимум андроид 2 стоит не больше. Ну и пожалуй самый главный косяк, это слабый микрофон-(собеседник плохо слышит)",3.0
"В режиме ожидания разряд идёт примерно 3-4% в час.То есть максимум - 33 часа.Откуда они взяли 657 часов в режиме ожидания? В режиме работы 15 часов тоже нет.Мне полного заряда хватило на 7,5 часов (разговор,игры,режим ожидания) . Соблазнился заявленными хорошими характеристиками и купил.Теперь жалею ! Знал бы - не купил бы...",2.0
"
Купила какой хотела. Но очень часто тормозит, не возможно куда-то войти. Очень часто даже не загорается экран, когда мне звонят. На ночь всегда его отключаю, днем тоже приходится, как говорят, чтобы перезарядить. Радости особой не испытываю. А ведь он не очень дешев.												",3.0
"Отзыв для тех, кто рассматривает покупку Samsung Galaxy S7- не рекомендую. Этот смартфон купила на замену Explay X-tremer (который работает уже более 4-х лет без всяких нареканий, 4-5 раз падал и ничего! не сбоев, ни трещин, просто чуть поцарапался). По функционалу особых различий между смартфонами нет или они незначительны, большая разница только в качестве камеры. Samsung Galaxy S7 купила скорей из-за яркого внешнего вида и мощной рекламы. Как только прошел гарантийный срок, в один прекрасный момент телефон завис и больше не включился. Диагностика показала, что необходима замена материнской платы, стоимость 22 600, новый Galaxy S7 сейчас стоит 27 000, а покупала я его на начале продаж за 49 900. Обращалась к производителю, но Samsung не признал этот недостаток существенным и в ремонте отказал. Изучая форумы по данной проблеме, столкнулась с тем, что поломка материнской платы в этих телефонах случается очень часто, практически это массовая проблема, которую Samsung не признает. Так что собираюсь отстаивать свои права через независимую экспертизу и суд. А Вы подумайте- готовы ли Вы выложить кругленькую сумму за возможность использовать смартфон чуть более года, а потом остаться с куском железа.",1.0
"
Что ж...Нокиа есть нокиа.Симбиан меня лично не разочаровал.Системка старенькая конечно,но не дохлая.Фото на высоте,видео тоже.знакомые не верили что он так может.У одного Айфон 6-в сравнение не идёт.На нокиа картинка сочнее и чётче.Корпус алюминиевый,держа в руке чувствуешь что мужик)))												",5.0
"
приобрел в 2014 году. я его и ранял и в воде он побывал но до сих пор работает												",5.0
