	mes	rating
64	По поводу фронтальной камеры: При установке в настройках качества фото в 13 Мпикс, размер кадра 4608 х 2592 пикселя. Перемножаем – получаем 11943936, дважды делим на 1024 – получаем 11,39 Мпикс.На мой взгляд это откровенный обман потребителя.	0
65	Купил не нарадовался красоте и шустрости этой модели. Но по факту я бы ни сколько не проиграл купив что то на андроид. Аппараты нокиа очень достойные, но приемуществ чуть меньше чем у андроид и айос. Если бы нокиа была на андроид, то все могло бы быть гораздо лучше. Т.к. недостатков по сравнению с...	0
66	На следующий день сдал в магазин в DNS г. Оренбурга. Думал сейчас начнут пинать, то в сервис, то ещё что нибудь придумают чтобы не менять. Но продавец с пониманием забрал телефон и сказал что правильный выбор сделали что поменяли на Huawei.  Он сказал что очень много брака у этой фирмы.	0
67	Память по факту не 8, а 4 гб. Телефону нет и года, связь теряет, автоматически включает авиарежим, теряет связь с ви-фи и мобильным интернетом, прерываются разговоры. Видео смотреть не возможно. Не хватает памяти на приложения. Почти сразу купила карту памяти на 32 гб. но это не спасло. У меня...	0
68	За такие деньги можно взять хороший телефон на Андроиде. Отсутствие второй сим-карты и поддержки карт памяти - это вообще прошлый век, приходится с собой второй телефон таскать (на Андроиде). И вот итог - Iphone разряжается к концу дня и приходится пользоваться андроидным телефоном. Обидно, пришлось...	0
69	Купил, так как на тот момент был напряг с финансами, а телефон попросился на замену. Подкупила цена за 4G смартфон по акции, за год он меня достал. Продал и не жалею. Зачем нужен мобильный телефон с минимальной мобильностью?	0
70	Пожилым людям подойдет. (При условии, что внуки настроят и покажут что и как)	0
71	Если быть откровенным пожалел что приобрел... Весь корпус ходит ходуном, через несколько месяцев рамка вокруг дисплея стала расцарапанной, на экране постоянно остаются отпечатки от пальцев и приходится его протирать. Что радует это показатели производительности, которые в реальности не...	0
72	Приобрел телефон для игр посмотрев перед этим отзывы и обзоры + для социальных сетей и интернета. Первое что не понравилось в этом телефоне это фотокамера, заявленные 13мп никак не тянет! 8 ядер и 3 ядра, а по факту игры тянет неохотно+очень сильно перегревается... Ещё не понравился мегатихий...	0
73	У меня телефон уже три года,на третий год заглючил,пришлось перепрошивать.Но ещё и батарея здохла и её нигде нет в продаже.Контакты сохраняются только в телефот,не на сим карту и звук телефона тихий.	0
74	За эту цену в России можно купить пару  отличных китаефонов, более продвинутых. Накой вообще делать на сегодня модели 32гб такому заслуженному, популярному бренду - мне, как электронщику, непонятно. Себестоимость 32 и 64гб флэшки - примерно одинаковая в производстве.	0
75	Lenovo A328 я купила в прошлом году. Понравился, несмотря на то, что не могла завести мои папки со стихами. Но в этом году вся радость прошла прахом. 17 сентября, когда я открыла сумку, чтобы взять телефон, я обожглась. Он до того накалился, что на корпусе телефона с рук остались куски кожи,...	0
76	Очень неудачная покупка, был подарком на день рождения. За год пользования, три раза ремонт, глючит и вырубается в самое неподходящее время. Вчера опять вырубился, вся информация пропала. Не включается, не заряжается. Ремонт озвучили - 9900 руб. Вот это подарок на день рождения получился!	0
77	На данный момент выбиралбы с 4g.	0
78	Звук на входе - выходе, хоть и отключаемый, но маркетинговым целям скорее вредит. Лучше бы подошла легенькая приятная трель.  Взрослые люди старше 40 лет, даже если в состоянии разбирать сообщения на экране, будут его сторониться из-за этого! Не захотят брать чисто на эмоциях, даже несмотря на...	0
79	Я вам скажу такая фигня стоит 6 тыс.глючит,любой запрос открывается через 20 сек.при разговоре открываются приложения сами по себе.На интернет вообще не реагирует.а если и включишь отключить не возможно выдает какую то фигню.Промучилась месяц.очень сильно пожалела что купила чуть не выкинула с 9...	0
80	При обновлении тел. запросил у меня подключить его к ituns,ошибка 29. Звоню в тех поддержку, там посоветовали мне кучу всего(отключить антивирусы, убедиться что USB оригинал, создать пользователя на компе, попробовать обновить на другом компе и т.п.)Ничего не помогло. Через месяц услышал, что...	0
81	Хороший аппарат. Но фирменная оболочка не понравилась. Очень много памяти жрет. Из-за нее же и её оптимизации много лагов и подвисаний. Живет на одном заряда долго. Фотки удовлетворительные, видео - так себе... Сойдет для сельской местности. Короче, вся надежда на Наших кулибиных. Авось допилят до...	0
82	Брал на время ремонта zenfon 601KL по причине его падения. После него 451 конечно, не катит - ни экран, ни камера, ни батарея. Но и цена его в 4.5 раза больше . Резюме по телефону - камера и батарея слабые, проблема с невозможностью без шаманства переместить приложения на SD карту. Остальное на...	0
83	Тормознутей телефона я еще не встречала! Чтобы увидеть кто звонит нужно ждать секунд 10. Пока на экране проявится номер телефона, постоянно зависает, невозможно срочно куда-то дозвониться. У двух моих знакомых такая же марка - такая же проблема. Ни за что на свете не покупайте этот телефон.	0
84	Телефон на внешность хорош и на цену тоже(для меня),функций в нем больше чем достаточно,но виснет и глючит без конца и края.	0
85	"Жалко денег. Винду люблю, честно. До этого был 530. Вещь!!! Постарел, решила обновить. Камера норм, но больше ничего хорошего. Заряд - пол дня, если не трогать гаджет, на сутки хватит. Музыка, видео - громко, будильник - есть впечатление, что перепутали слова - больше ""засыпальник"", еле пищит......"	0
86	Очень не удобный телефон, опять таки же на мой взгляд, при любом не ловком нажатии сенсора, переключается на др сим-ку. Очень маленькое фото на дисплее во время звонка (10 % от экрана). Не удобный прием/отклонение звонка (не просто нажатие, не сдвиг в сторону, а просто куда то в неопределенную...	0
87	Заказал через официальный интернет магазин Qumo. Не гонюсь за лейблом, поэтому взял по работе на 2 симки.	0
88	На 3 балла.	0
89	Ужасно!мне не понравился вообще,видела намного лучше телефоны по такой же цене! Все время какие то проблемы, памяти катастрофы чести мало,то что пишут все бред! Камера ужасная,не фокусируется вообще. То памяти у него нет,то зарядка быстро садиться.	0
90	Не могу решить вопрос по поводу отключения звука и заставки при включении. Жаль, видно нет решения данной траблы, а это считаю существенным недостатком! Цветовая схема - тоже по серости. Изменить её не нахожу возможности. Мдааа... На буст 2 можно было на каждую сим разный рингтон поставить, на 3-ке...	0
91	Телефон очень нравился в использовании, но есть одна проблема, он живет своей жизнью, может отключится и через пару дней одуматься, может не включится никогда, судя по отзывам на различных сайтах - это заводская проблема, и никак не лечится	0
92	С таким качеством и на свою цену не тянет. не рекомендую.	0
93	Купила такой Смартфон 16 марта 2015 года, на вид понравился. Полгода работал исправно я не могла на радоваться. Но потом начались проблемы с аккумулятором. Очень быстро начал разряжаться, даже если осталось зарядки 30% разряжался за 5 минут. Итак пользовалась я им, можно сказать мучилась 1 год и 2...	0
94	Купила в мае 2012 за 30 т.р. в Связном. дома выяснилось , что чек мне не дали. и с первой же недели начались проблемы при использовании.. выключался. после ремонта год поработал и стал глючить экран. пришлось менять экран. заменили на простое стекло, которое царапается. вскоре после этого упал на...	0
95	Пользуюсь около 1 года!Люди не берите этот телефон и даже не рассматривайте как подмену сломавшемуся на время другого телефона. Не подберете на него чехол, не найдете оригинального аккумулятора. Батареи заявленной 1900мА/ч после года хватает на сутки.	0
96	Как бывший обладатель G2, G3 и G4 с прискорбием вынужден сообщить, что флагманы LG окончательно сдулись. Модульная конструкция – на первый взгляд прикольно, но абсолютно бесполезно + это очень сильно удорожит ремонт смартфона, если вы его случайно грохнете об асфальт. Кто будет покупать сомнительные...	0
97	Всем привет. Решил оставить отзыв о Microsoft 650 т.к. очень недоволен этим телефоном. Я давно пользуюсь телефонами на Windows, первый мой телефон нокиа 625, покупая этот аппарат я сомневался, и очень сильно расстроился когда через три дня он у меня выпал из кармана брюк в поле на вспаханную землю и...	0
98	Мне даже жаль было ставить 1. Настолько не доработан что даже стыдно за эту марку. Даже починить в сервисе не хотят. Например столкнулся с такой проблемой... Курсор и указатели для выделения текста залипают в начале экрана. Ужасно неудобно. Прикладывал даже скрин к заявке на ремонт ничего не...	0
99	"Мой телефон Galaxy S6. Я очень недовольна своей покупкой. И это мягко сказано. Мало того, что, во-первых, у телефона за 50000 рублей разработчики не предусмотрели букву ""ъ"" на клавиатуре.  Во-вторых, просто отвратительный плановик в телефоне: список запланированных дел из календаря на..."	0
100	через 2 года пользования я в него залез,так как терять было нечего.через месяц эксплуатации хлёсткое падение в раковину при мытье рук его разщемило . при попытке склеить: клей к корпусу не приставал. по микрофону со временем меня стали слышать плохо. оторвавшееся ушко для ремешка на котором я носил...	0
101	в общем муж себе приобрел данный смартфон в надежде на то что он проявит себя на много лучше своего предыдущего айфона 4s. прибежал домой с заветной коробочкой весь в предвкушении удачной покупки, распаковал, включил и начал изучать. разочарование не заставило себя долго ждать. камера оказалась...	0
102	Оцениваю на 3	0
103	"Приобрела смартфон Люмия 640 DS три недели назад. Очень пожалела, что выбрала смартфон на платформе Windous. Смартфон работает медленно. Качество фотографий оставляет желать лучшего. Скайп не работает вообще. Не могу скачать ничего из ""магазина""потому, что при вводе адреса эл.почты первый раз..."	0
104	"Очень жаль, что мне подарили на 8 Марта, этот телефон. Одни огорчения, за сутки пользования, жаль денег выброшенных на ветер, если так можно выразиться.Думаю, что это - "" серый"" товар, только вот им торгуют в магазинах... просто удивительно, как такое может быть?"	0
105	Телефон не справляется с основной функцией, качество связи ужасное! Это первый телефон на котором я не могу пользоваться интернетом, так как всегда стоит режим 2 джи, думал качество связи улучшилось,но понаблюдав понял, что и это не спасает, уровень сигнала даже в этом режиме гуляет, меня постоянно...	0
106	Телефон очень низкого качества. Поведясь на цену потеряла больше времени и нервов. После выходных придется нести в сервис на экспертизу. Надеюсь что получу одобрение  на возврат сего аппарата.	0
107	Все бы ничего,  если бы экран не был таким хрупкие и не устойчивым к царапинам,  телефон  упал с высоты 0.5 метра  на ламинат  и разбился экран который в свою очередь меняется только модулем.  Я считаю что у телефона за 45 000 такое не допустимо.	0
108	Очень быстро разряжается, хотя телефон куплен недавно. Будильник не работает вообще, и не только у меня но и у многих людей которые пользуются ZTE Blade AF3. После перезагрузки телефона исчезают приложения (ярлычки) с рабочего стала, приходится их снова доставать из меню. Так же очень плохо...	0
109	Все, что нужно поддерживает	0
110	на троечку	0
111	купила телефон, повелась на размеры экрана. В целом телефон неплохой,но камера это ужас, памяти телефона вообще нет, а интернет 2G,хотя было написано 4G. идеально подходит для просмотра фильмов	0
112	На вкус и цвет товарищей нет. Главное функциональность. Брал для связи через блютуз автомагнитолы. Оказывается он не совместим с блютузами автомагнитол. Кроме того выяснилось, что разблокировка осуществляется одной кнопкой, в результате самостоятельно разблокируется в нагрудном кармане. Выключение...	0
113	Не согласна с предыдущим отзывом. Автор видать сам не разобрался в телефоне. Автоматическая блокировка отключается через меню настройки телефона, так же можно запрограммировать три кнопки быстрого вызова (1,2,3). Конечно,хотелось бы,чтобы все кнопки можно было использовать для этого... Я пока не...	0
114	в целом телефон для звонков, для неприхотливых людей. Цена высоковата из-за дисплея и памяти (моё мнение), если брать с подобными характеристиками, то можно что-то и подешевле.	0
115	Был очень доволен покупкой, аккумулятор хороший, но сразу не порадовал звук при разговоре, приходится напрягать ухо. Недавно начал умирать и микрофон... меня тихо слышно. Пользуюсь больше года очень активно! Аккумулятор держит на активных звонках 4-5 дней через уже год с небольшим...	0
116	Очень разочарован этим телефоном, и это еще считается флагманом, а работает как смартфон за 2000 рублей, ни в коем случае не покупайте этот телефон, даже если на первый взгляд все работает, все летает.	0
117	"Приобрёл Смартфон Prestigio MultiPhone 7500 32GB . и всё вроде устраивает в нём, если бы не одно но!!!! Он постоянно виснет!!!!!!!!! И вывести его из этого состояния крайне трудно!!!!! Не реагирует ни на,что!!!! Даже если держать кнопку выключения телефона долго!!!!! И в таком"" подвешенном""..."	0
118	запоролся сразу на телефонной книге:не копирует номера с симки на телефон(нет такой опции)руководство пользователя не соответствует самому телефону(в руководстве одно-в телефоне другое).брал для пожилого человека.посмотрим ,что скажет?	0
119	Пора обновлять прошивку. Множество мелких багов, например: будильник - если настроить время срабатывания через 5 минут, то все ОК, но если настроить на утро, то не срабатывае. Только уведомление о пропущенном будильнике.   Батарея - заряжается долго( часа 2,5 ),   как	0
